dom;conglomerado;peso;a01.2019;a02.2019;b_tfam.2019;b_totmorad.2019;b_cond_inf.2019;b_nfam.2019;b_nindiv.2019;b01_1.2019;b01_2.2019;b02.2019;b03.2019;b04.2019;b05.2019;b06.2019;c01.2019;c02_1.2019;c02_1a.2019;c02_1ns.2019;c02_2.2019;c02_2a.2019;c02_2ns.2019;c02_3.2019;c02_3b.2019;c02_3a.2019;c02_3ns.2019;c03_1.2019;c03_2.2019;c03_3.2019;c03_4.2019;c03_5.2019;c03_6.2019;c03_7.2019;c03_8.2019;q01.2019;q02.2019;q03.2019;q05.2019;q06.2019;d06.2019;q15.2019;q17_1.2019;q17_2.2019;q17_3.2019;q17_4.2019;q17_5.2019;q17_6.2019;q17_7.2019;q17_8.2019;q17_9.2019;q17_10.2019;d12_1.2019;d12_2.2019;d12_3.2019;d12_ns.2019;tempo_procura_desemp.2019;d16_11.2019;d16_12.2019;d16_1ns.2019;d16_21.2019;d16_22.2019;d16_2ns.2019;d16_31.2019;d16_32.2019;d16_3ns.2019;d16_41.2019;d16_42.2019;d16_4ns.2019;d16_51.2019;d16_52.2019;d16_5ns.2019;d16_61.2019;d16_62.2019;d16_6ns.2019;d16_71.2019;d16_72.2019;d16_7ns.2019;d16_81.2019;d16_82.2019;d16_8ns.2019;estuda.2019;analfabeto.2019;instrucao.2019;sit.2019;pia.2019;pea.2019;pos_ocup.2019;pos_ocup1.2019;tamanho_renda.2019;rdomic.2019;rdpc.2019;n_família_orig.2019;n_amostra_domicílio.2019;q01.2020;q02.2020;q03.2020;q04.2020;q05.2020;q06.2020;q07.2020;q08.2020;q09.2020;q10.2020;q11.2020;q12.2020;q13.2020;q14.2020;q15.2020;q16_1.2020;q16_2.2020;q16_3.2020;q16_4.2020;q16_5.2020;q17_1.2020;q17_2.2020;q17_3.2020;q17_4.2020;q17_5.2020;q17_6.2020;q17_7.2020;q17_8.2020;q17_9.2020;q17_10.2020;q18.2020;q19_aa.2020;q19_mm.2020;q19_dd.2020;tempo_ult_trab_desemp.2020;q20.2020;q21.2020;q22_aa.2020;q22_mm.2020;q22_dd.2020;tempo_ult_trab_inativo.2020;q23.2020;q24.2020;q25.2020;q26_1.2020;q26_2.2020;q26_3.2020;q26_4.2020;q26_5.2020;q26_6.2020;q26_7.2020;q26_8.2020;q26_9.2020;q26_10.2020;q26_11.2020;q26_12.2020;q26_13.2020;q27.2020;q28_1.2020;q28_2.2020;q29.2020;q30.2020;q32.2020;sit.2020;pia.2020;pea.2020;pos_ocup.2020;pos_ocup1.2020;fx_etaria.2019;setor.2020;setor.2019;fluxo20x19
46015;2;1,1854;4;1;1;5;1;1;3;4;4;24;2;3;1;7;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1400; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;5;6900;1380;5;3;1;1;1; ; ; ;30;1;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1400;2;2; ; ;99;1;1;1;1;1;3;4;99;101
46020;2;1,1854;4;2;1;2;3;1;1;1;1;56;2;1;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;1;1;1;1;3; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;9; ; ;3;3;5;1;1;1;3;1;2;7500;3750;2;2;1;1;3; ; ; ;47;1;3;40;1;3;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4000;2;2; ; ;47;1;1;1;3;1;5;5;5;101
46020;2;1,1854;4;2;1;2;3;1;2;4;4;29;2;1;1;7;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;1;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3500; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;2;7500;3750;2;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1; ;1; ;1; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;4000;43;2;1;1; ; ;4; ;5;201
46025;2;1,1854;4;2;1;5;1;1;1;1;1;56;1;3;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;1;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1500; ;2; ; ;1;1500; ;2; ; ;2; ; ;2; ; ;2; ; ;9; ; ;3;3;5;1;1;1;1;1;5;4600;920;5;3;1;1;1; ; ; ;46;1;3;60;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1000;2;2; ; ;46;1;1;1;1;1;5;5;5;101
46025;2;1,1854;4;2;1;5;1;1;2;2;2;48;2;3;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;1;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1600; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;1;1;5;4600;920;5;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;1; ; ;12;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;6;3500;99;3;1;2; ; ;5; ;99;301
46025;2;1,1854;4;2;1;5;1;1;3;4;4;18;1;3;7;4;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;1;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;3;3;3;1;2; ; ;5;4600;920;5;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ;2;1;1; ; ;3; ; ;203
46028;5;1,1854;4;2;1;4;1;1;1;1;1;55;2;3;1;2;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;3;1;2; ; ;4;3000;750;4;4;1;1;9; ; ;2;51;2;3;10;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;400;1;2;4;3800; ;1;1;1;9;8;5;6; ;103
46028;5;1,1854;4;2;1;4;1;1;2;4;4;26;2;3;1;2;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1200; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;1;1;1;1;1;4;3000;750;4;4;1;1;1; ; ; ;15;5;2;40;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1200;2;2; ; ;15;1;1;1;1;1;4;2;2;101
46028;5;1,1854;4;2;1;4;1;1;3;4;4;25;2;3;1;2;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;2;1;4; ; ; ; ; ;1;1;0;0;0;1;0;0;0;0;0; ;4; ; ;17,1428571428571;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;2;1;1; ; ;4;3000;750;4;4;1;1;3; ; ; ;47;1;3;30;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;600;2;2; ; ; ;1;1;1;3;1;4;5; ;102
46028;5;1,1854;4;2;1;4;1;1;4;6;6;26;1;3;1;3;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1800; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;3;1;1;1;1;1;4;3000;750;4;4;1;1;1; ; ; ;46;1;3;36;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1600;2;2; ; ;46;1;1;1;1;1;4;5;5;101
46030;5;1,1854;4;1;2;4;1;2;1;4;1;34;2;3;1;8;9;9; ; ;9; ; ;9; ; ; ;9;9;9;9;9;9;9;9;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;9;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;4;-1;-1;4;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1; ;7; ;7; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ;30;2;1;1; ; ;4; ;4;201
46030;5;1,1854;4;1;2;4;1;2;2;6;2;34;1;3;1;7;9;9; ; ;9; ; ;9; ; ; ;9;9;9;9;9;9;9;9;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;9;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;4;-1;-1;4;2;1;1;1; ; ; ;30;1;2;48;1;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999;2;2;4;99999;30;1;1;1;1;1;4;4;4;101
46032;5;1,1854;4;1;1;5;1;1;1;1;1;69;2;3;1;2;1;1;80; ;2; ; ;2; ; ; ;1;1;1;1;2;2;1;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1300; ;2; ; ;1;998; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;1;1;1;1;1;5;2678;535,6;5;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;6; ;6;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;5;1645;46;3;1;2; ; ;6; ;5;301
46032;5;1,1854;4;1;1;5;1;1;2;4;4;42;1;3;2;2;1;1;80; ;2; ; ;2; ; ; ;1;1;1;1;2;2;1;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;1;2;3;1;2; ; ;5;2678;535,6;5;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;2; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ;3;1;2; ; ;5; ; ;303
46032;5;1,1854;4;1;1;5;1;1;3;4;4;38;2;3;1;5;1;1;80; ;2; ; ;2; ; ; ;1;1;1;1;2;2;1;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;300; ;2; ; ;2; ; ;3;3;5;3;1;2; ; ;5;2678;535,6;5;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;7; ; ;84;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ;3;1;2; ; ;4; ; ;303
46042;9;1,2188;4;2;1;6;2;1;1;1;1;48;1;1;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;9;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;1;1;6;-1;-1;6;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ;20;2;1;1; ; ;5; ;3;201
46042;9;1,2188;4;2;1;6;2;1;2;2;2;43;2;1;6;2;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;3;2;3;1;2; ; ;6;-1;-1;6;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;1;3; ; ;36; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;6;600; ;2;1;1; ; ;5; ; ;203
46042;9;1,2188;4;2;1;6;2;1;3;4;4;19;2;1;7;4;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;3;3;3;1;2; ; ;6;-1;-1;6;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ;1;1; ; ;12; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ;2;1;1; ; ;3; ; ;203
46048;9;1,2188;4;2;1;3;2;1;2;2;2;29;2;1;1;3;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;3;3;1;2; ; ;3;1100;366,666666666667;3;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;1; ; ;12;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;3;1000; ;3;1;2; ; ;4; ; ;303
46053;14;1,1854;4;1;1;4;1;1;3;4;4;30;2;3;1;8;2;9; ; ;9; ; ;9; ; ; ;2;1;2;2;2;2;2;2;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;9;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;4;-1;-1;4;2;1;1;1; ; ; ;13;1;1;40;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5000;2;2;4;10000;13;1;1;1;1;1;4;2;2;101
46053;14;1,1854;4;1;1;4;1;1;4;4;4;27;2;3;1;8;2;9; ; ;9; ; ;9; ; ; ;2;1;2;2;2;2;2;2;1;1;3; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;9;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;3;1;4;-1;-1;4;2;4;1;3; ; ; ;48;1;1;0;1;2;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2000;2;2; ; ;48;1;1;1;3;1;4;5;5;101
46070;10;1,1854;4;1;1;1;1;1;1;1;1;60;2;3;1;6;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;1;1;1;1;8; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;988; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;8;8;1;988;988;1;1;1;1;8; ; ; ;51;2;3;40;1;3;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1045;2;2;1;1045;51;1;1;1;8;8;6;6;6;101
46080;11;1,1854;4;2;1;3;1;1;2;4;4;26;2;3;1;7;2;9; ; ;9; ; ;9; ; ; ;1;1;2;2;2;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;3;2998;999,333333333333;3;1;1;1;1; ; ; ;12;1;1;40;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3200;2;2;2;99999;12;1;1;1;1;1;4;2;2;101
